positive,neutral,negative
0.985,0.013,0.002
0.896,0.101,0.003
0.961,0.037,0.003
0.945,0.052,0.002
0.971,0.027,0.002
0.927,0.07,0.003
0.974,0.023,0.002
0.944,0.053,0.003
0.873,0.123,0.003
0.944,0.054,0.002
0.309,0.684,0.007
0.936,0.063,0.002
0.973,0.025,0.002
0.941,0.054,0.005
0.968,0.03,0.002
0.919,0.079,0.003
0.933,0.063,0.003
0.938,0.059,0.003
0.329,0.666,0.005
0.974,0.023,0.003
0.893,0.103,0.004
0.912,0.085,0.003
0.932,0.065,0.003
0.788,0.209,0.003
0.969,0.028,0.002
0.695,0.301,0.004
0.954,0.044,0.002
0.985,0.013,0.002
0.982,0.016,0.002
0.948,0.05,0.002
0.937,0.06,0.002
0.952,0.046,0.002
0.971,0.027,0.002
0.576,0.418,0.006
0.963,0.035,0.002
0.788,0.205,0.008
0.874,0.123,0.004
0.63,0.366,0.003
0.908,0.09,0.002
0.871,0.126,0.003
0.958,0.04,0.002
0.979,0.019,0.002
0.982,0.015,0.002
0.573,0.423,0.005
0.892,0.105,0.003
0.978,0.02,0.002
0.765,0.231,0.005
0.753,0.243,0.004
0.39,0.603,0.007
0.954,0.044,0.002
0.863,0.133,0.004
0.886,0.111,0.003
0.982,0.016,0.002
0.972,0.026,0.002
0.939,0.059,0.002
0.831,0.165,0.004
0.4,0.594,0.006
0.781,0.212,0.007
0.884,0.111,0.006
0.955,0.043,0.002
0.861,0.136,0.003
0.837,0.16,0.003
0.891,0.105,0.004
0.971,0.027,0.002
0.461,0.535,0.004
0.928,0.069,0.003
0.925,0.073,0.002
0.959,0.039,0.002
0.883,0.113,0.005
0.979,0.019,0.003
0.754,0.242,0.004
0.806,0.189,0.005
0.961,0.037,0.002
0.927,0.071,0.003
0.758,0.24,0.002
0.61,0.386,0.004
0.535,0.462,0.003
0.907,0.09,0.003
0.96,0.038,0.002
0.881,0.117,0.002
0.143,0.85,0.007
0.973,0.025,0.002
0.921,0.075,0.003
0.859,0.137,0.004
0.492,0.504,0.004
0.923,0.074,0.003
0.499,0.497,0.003
0.946,0.051,0.002
0.955,0.042,0.003
0.842,0.153,0.005
0.852,0.142,0.006
0.929,0.068,0.002
0.889,0.108,0.003
0.862,0.135,0.003
0.939,0.059,0.002
0.983,0.014,0.002
0.942,0.055,0.003
0.821,0.173,0.006
0.857,0.138,0.005
0.967,0.031,0.002
0.649,0.34,0.011
0.967,0.03,0.003
0.889,0.107,0.004
0.965,0.033,0.002
0.872,0.125,0.003
0.975,0.023,0.002
0.789,0.205,0.006
0.68,0.314,0.006
0.801,0.196,0.003
0.917,0.081,0.003
0.967,0.031,0.002
0.962,0.035,0.003
0.877,0.12,0.003
0.126,0.808,0.067
0.933,0.064,0.003
0.867,0.13,0.003
0.891,0.105,0.003
0.897,0.1,0.003
0.789,0.207,0.004
0.931,0.067,0.002
0.739,0.258,0.003
0.75,0.247,0.003
0.937,0.06,0.003
0.943,0.053,0.004
0.266,0.729,0.005
0.959,0.038,0.002
0.984,0.013,0.002
0.936,0.061,0.003
0.79,0.208,0.003
0.84,0.157,0.003
0.98,0.018,0.002
0.976,0.021,0.003
0.872,0.122,0.006
0.946,0.051,0.002
0.908,0.089,0.003
0.515,0.478,0.007
0.742,0.256,0.003
0.721,0.276,0.003
0.976,0.022,0.002
0.53,0.46,0.01
0.844,0.154,0.002
0.92,0.076,0.004
0.727,0.268,0.004
0.881,0.116,0.003
0.363,0.63,0.007
0.87,0.126,0.004
0.918,0.078,0.004
0.214,0.781,0.005
0.771,0.226,0.004
0.923,0.074,0.003
0.925,0.072,0.003
0.975,0.023,0.002
0.871,0.123,0.005
0.733,0.263,0.005
0.575,0.42,0.005
0.586,0.41,0.004
0.945,0.053,0.002
0.98,0.018,0.002
0.804,0.192,0.004
0.196,0.798,0.006
0.849,0.146,0.005
0.946,0.053,0.002
0.84,0.152,0.008
0.628,0.362,0.01
0.971,0.025,0.004
